# millisec, uSv/h, CPS, CPM, Temp, Alt, roll, pitch, heading, x_accel, y_accel, z_accel, balloonstate
# millisec, uSv/h, CPS, CPM, Temp, Alt, roll, pitch, heading, x_accel, y_accel, z_accel, balloonstate
53408,  17.57,  1,  3084, 25.20, 30.93, -89.32, -0.23, -135.83, 0.04, -9.96, 0.12, 1
54402,  6.89,  0,  1210, 25.20, 31.10, -87.64, -4.94, -121.99, 0.82, -9.53, 0.39, 1
55398,  6.89,  0,  1209, 25.20, 30.68, -90.23, -0.91, -125.41, 0.16, -9.85, -0.04, 1
56394,  6.89,  0,  1209, 25.20, 30.68, -95.28, -3.20, -121.19, 0.55, -9.77, -0.90, 1
57390,  6.89,  0,  1209, 25.20, 31.52, -86.08, 0.23, -115.95, -0.04, -9.73, 0.67, 1
58386,  6.89,  0,  1209, 25.20, 31.18, -88.50, -2.00, -117.59, 0.31, -8.98, 0.24, 1
59382,  6.90,  3,  1212, 25.20, 30.18, -88.14, -1.63, -116.49, 0.27, -9.65, 0.31, 1
60377,  6.90,  0,  1212, 25.10, 30.93, -89.55, -1.82, -119.38, 0.31, -9.89, 0.08, 1
61373,  6.90,  0,  1211, 25.10, 30.35, -89.09, -2.05, -114.86, 0.35, -9.85, 0.16, 1
62369,  6.89,  0,  1210, 25.10, 30.85, -87.65, -3.05, -114.49, 0.51, -9.57, 0.39, 1
63365,  6.89,  0,  1210, 25.10, 30.85, -91.34, -0.67, -120.19, 0.12, -10.08, -0.24, 1
64361,  6.89,  0,  1210, 25.10, 30.68, -86.50, 1.17, -121.14, -0.20, -9.61, 0.59, 1
65356,  6.90,  1,  1211, 25.10, 30.02, -87.45, -0.23, -119.85, 0.04, -9.69, 0.43, 1
66352,  6.89,  0,  1210, 25.10, 30.93, -85.90, -2.65, -114.05, 0.43, -9.30, 0.67, 1
67348,  6.89,  0,  1210, 25.10, 30.52, -94.61, -8.91, -102.91, 1.53, -9.73, -0.78, 1
68344,  6.89,  0,  1210, 25.10, 30.60, -88.85, -0.69, -116.15, 0.12, -9.81, 0.20, 1
69340,  6.89,  0,  1210, 25.10, 31.10, -89.07, -1.40, -116.16, 0.24, -9.65, 0.16, 1
70336,  6.89,  0,  1209, 25.10, 30.93, -88.61, -0.70, -117.01, 0.12, -9.69, 0.24, 1
71331,  6.89,  0,  1209, 25.10, 30.35, -88.84, -2.55, -115.61, 0.43, -9.69, 0.20, 1
72327,  6.89,  0,  1209, 25.00, 30.85, -88.61, -0.69, -118.47, 0.12, -9.73, 0.24, 1
73323,  6.89,  0,  1209, 25.00, 30.68, -88.36, -0.93, -118.52, 0.16, -9.61, 0.27, 1
74319,  6.89,  1,  1210, 25.00, 31.18, -86.28, 8.00, -129.30, -1.53, -10.87, 0.71, 1
75315,  6.89,  0,  1209, 25.00, 30.52, -98.62, -14.97, -103.98, 2.59, -9.57, -1.45, 1
76311,  6.89,  0,  1209, 25.00, 30.18, -86.62, 3.82, -123.65, -0.67, -9.96, 0.59, 1
77306,  6.89,  0,  1209, 25.00, 30.43, -89.31, -2.53, -120.73, 0.43, -9.77, 0.12, 1
78302,  6.89,  0,  1209, 25.00, 30.27, -88.85, -0.23, -122.85, 0.04, -9.77, 0.20, 1
79298,  6.88,  0,  1208, 25.00, 30.60, -88.86, 0.23, -124.43, -0.04, -9.85, 0.20, 1
80294,  6.88,  0,  1208, 25.00, 31.02, -90.45, -3.12, -120.26, 0.55, -10.08, -0.08, 1
81290,  6.88,  0,  1208, 25.00, 30.68, -89.54, -0.23, -119.02, 0.04, -9.81, 0.08, 1
82286,  6.89,  1,  1209, 25.00, 30.68, -90.91, -2.26, -119.26, 0.39, -9.92, -0.16, 1
83282,  6.89,  1,  1210, 25.00, 30.77, -90.00, -1.79, -119.81, 0.31, -10.04, 0.00, 1
84277,  6.89,  0,  1210, 25.00, 30.52, -87.49, -2.51, -119.73, 0.43, -9.85, 0.43, 1
85273,  6.87,  0,  1207, 25.00, 30.60, -95.57, 4.93, -141.12, -0.94, -10.87, -1.06, 1
86269,  6.87,  0,  1207, 25.00, 30.85, -91.18, -3.53, -127.96, 0.59, -9.53, -0.20, 1
87265,  6.87,  0,  1207, 25.00, 30.68, -77.87, -3.19, -115.87, 0.51, -8.94, 1.92, 1
88261,  6.87,  0,  1207, 25.00, 30.52, -87.66, -2.80, -123.82, 0.47, -9.61, 0.39, 1
89257,  6.87,  0,  1207, 25.00, 30.35, -94.36, -7.53, -120.86, 1.29, -9.77, -0.75, 1
90252,  6.87,  0,  1207, 24.90, 31.02, -90.97, -5.57, -115.80, 0.90, -9.26, -0.16, 1
