# millisec, uSv/h, CPS, CPM, Temp, Alt, roll, pitch, heading, x_accel, y_accel, z_accel, balloonstate
# millisec, uSv/h, CPS, CPM, Temp, Alt, roll, pitch, heading, x_accel, y_accel, z_accel, balloonstate
2410121,  0.45,  1,  80, -4.80, 6635.10, -91.99, -5.62, 24.47, 1.33, -13.53, -0.47, 1
2411117,  0.45,  0,  79, -4.60, 6636.93, -86.37, 4.52, -149.50, -1.57, -19.81, 1.26, 1
2412113,  0.44,  0,  78, -4.90, 6650.55, -91.64, -5.13, -116.00, 0.86, -9.61, -0.27, 1
2413109,  0.43,  1,  77, -4.60, 6648.39, -88.92, -9.00, -85.97, 1.65, -10.40, 0.20, 1
2414105,  0.43,  1,  76, -5.20, 6658.87, -86.66, -4.99, -56.94, 0.82, -9.41, 0.55, 1
2415101,  0.43,  1,  76, -4.50, 6654.21, -82.23, -2.69, -71.82, 0.67, -14.08, 1.92, 1
2416097,  0.43,  1,  76, -5.30, 6672.36, -92.73, -0.00, 151.12, 0.00, -13.14, -0.63, 1
2417093,  0.44,  3,  78, -4.70, 6662.36, -87.87, -2.58, 128.46, 0.90, -20.01, 0.75, 1
2418089,  0.46,  3,  81, -9.30, 6760.46, -92.89, 0.48, 100.60, -0.08, -9.34, -0.47, 1
2419085,  0.46,  1,  81, -7.40, 6760.46, -121.88, 4.89, 66.74, -0.47, -4.67, -2.90, 1
2420081,  0.46,  3,  82, -4.40, 6674.52, -80.20, 5.65, -58.46, -0.98, -9.77, 1.69, 1
2421077,  0.46,  1,  81, -5.80, 6721.83, -87.52, -12.81, 45.27, 3.10, -13.61, 0.59, 1
2422073,  0.46,  0,  81, -10.90, 6828.05, -85.29, 3.69, 135.06, -1.29, -20.01, 1.65, 1
2423069,  0.46,  0,  81, -4.80, 6695.22, -98.89, -4.68, -87.19, 1.06, -12.79, -2.00, 1
2424065,  0.46,  1,  81, -6.00, 6753.73, -106.47, -0.35, 141.84, 0.04, -6.24, -1.84, 1
2425061,  0.46,  3,  82, -5.00, 6712.11, -112.98, -4.30, -45.83, 0.82, -10.08, -4.28, 1
2426057,  0.47,  1,  83, -4.80, 6707.93, -86.25, -4.52, -76.41, 0.90, -11.38, 0.75, 1
2427053,  0.47,  2,  84, -4.70, 6717.81, -83.29, 6.44, -136.83, -2.28, -20.01, 2.35, 1
2428049,  0.46,  0,  82, -10.80, 6809.25, -93.34, -5.16, 107.85, 1.22, -13.45, -0.78, 1
2429045,  0.46,  0,  82, -5.00, 6728.87, -101.10, 10.55, 60.75, -2.35, -12.40, -2.43, 1
2430041,  0.46,  0,  81, -7.20, 6793.18, -92.36, -5.76, 148.74, 0.86, -8.55, -0.35, 1
2431037,  0.45,  0,  80, -4.60, 6733.23, -98.00, 7.06, -162.86, -0.63, -5.02, -0.71, 1
2432033,  0.45,  3,  80, -4.60, 6736.09, -86.62, 1.69, -83.34, -0.31, -10.63, 0.63, 1
2433029,  0.44,  3,  78, -4.80, 6745.32, -99.57, -6.00, 54.45, 1.41, -13.26, -2.24, 1
2434025,  0.46,  3,  81, -4.80, 6740.96, -89.53, -3.74, 37.01, 0.63, -9.61, 0.08, 1
2435021,  0.48,  4,  85, -5.00, 6752.39, -94.45, -5.90, 38.05, 1.10, -10.59, -0.82, 1
2436017,  0.49,  2,  86, -4.70, 6752.55, -87.42, -3.22, -147.04, 0.59, -10.43, 0.47, 1
2437013,  0.49,  2,  87, -4.70, 6754.07, -86.61, -3.16, -118.95, 0.55, -9.92, 0.59, 1
2438009,  0.50,  2,  89, -4.50, 6751.71, -88.69, -4.15, -63.59, 0.75, -10.28, 0.24, 1
2439005,  0.51,  1,  90, -10.80, 6965.16, -97.52, 1.59, 152.52, -0.27, -9.81, -1.29, 1
2440001,  0.50,  1,  88, -4.70, 6767.03, -84.69, 3.65, -108.96, -0.78, -12.24, 1.14, 1
2440997,  0.49,  2,  87, -8.40, 6864.43, -97.07, -2.07, 149.64, 0.39, -10.75, -1.33, 1
2441993,  0.49,  0,  86, -5.10, 6778.15, -99.07, 0.55, 69.26, -0.12, -12.04, -1.92, 1
2442989,  0.49,  1,  86, -5.00, 6780.35, -89.11, -3.20, -56.79, 0.71, -12.63, 0.20, 1
2443985,  0.48,  1,  85, -5.10, 6793.18, -88.07, 1.29, -45.36, -0.16, -6.98, 0.24, 1
2444981,  0.48,  1,  85, -9.00, 6901.81, -94.42, 0.46, 104.43, -0.08, -9.65, -0.75, 1
2445977,  0.46,  1,  82, -4.60, 6789.80, -95.61, -3.52, 84.51, 0.67, -10.79, -1.06, 1
2446973,  0.48,  4,  85, -5.80, 6816.36, -87.29, 1.52, -165.22, -0.35, -13.26, 0.63, 1
2447969,  0.50,  3,  88, -4.90, 6800.28, -86.59, -0.60, -139.31, 0.12, -11.18, 0.67, 1
2448965,  0.51,  3,  91, -5.50, 6806.03, -95.82, -0.00, 49.69, 0.00, -10.00, -1.02, 1
2449961,  0.53,  4,  93, -5.20, 6816.87, -95.94, -2.51, -50.16, 0.43, -9.81, -1.02, 1
2450957,  0.53,  1,  94, -4.80, 6810.60, -85.98, -0.55, 68.23, 0.12, -12.28, 0.86, 1
2451953,  0.55,  4,  97, -4.90, 6816.02, -92.53, 0.97, 145.97, -0.20, -11.53, -0.51, 1
2452949,  0.54,  1,  96, -10.40, 6976.89, -87.14, 0.48, 177.83, -0.08, -9.41, 0.47, 1
2453945,  0.54,  1,  95, -4.90, 6825.68, -90.26, 4.96, 77.59, -0.75, -8.59, -0.04, 1
2454942,  0.54,  3,  96, -6.40, 6860.34, -89.68, -4.04, 34.26, 0.98, -13.89, 0.08, 1
2455938,  0.53,  2,  94, -5.40, 6846.39, -89.08, 0.74, 170.26, -0.16, -12.20, 0.20, 1
2456934,  0.54,  1,  95, -8.40, 6920.82, -94.28, 3.73, 148.34, -0.82, -12.59, -0.94, 1
2457930,  0.54,  0,  95, -17.30, 7028.80, -91.12, 0.28, 57.28, -0.08, -16.04, -0.31, 1
2458926,  0.55,  4,  97, -5.30, 6864.26, -92.40, -3.60, 152.46, 0.94, -14.95, -0.63, 1
2459922,  0.56,  3,  99, -6.90, 6904.38, -90.95, -3.34, 70.07, 0.27, -4.71, -0.08, 1
2460918,  0.55,  0,  98, -5.30, 6875.17, -112.09, 0.22, -176.70, -0.04, -9.38, -3.80, 1
2461914,  0.56,  3,  99, -8.50, 6952.08, -99.94, -8.66, 117.69, 1.18, -7.61, -1.33, 1
2462911,  0.58,  4,  103, -5.40, 6877.90, -97.53, -0.19, 63.30, 0.04, -11.57, -1.53, 1
2463907,  0.58,  2,  102, -4.90, 6875.85, -89.84, -4.59, -135.07, 1.10, -13.69, 0.04, 1
2464903,  0.59,  3,  104, -4.90, 6885.92, -90.11, 6.93, 114.48, -2.43, -20.01, -0.04, 1
2465899,  0.60,  3,  106, -5.20, 6892.75, -92.41, 0.74, -165.82, -0.16, -12.12, -0.51, 1
2466901,  0.60,  3,  106, -5.50, 6893.44, -99.11, -4.33, 24.00, 0.86, -11.26, -1.80, 1
2467891,  0.59,  1,  105, -7.70, 6975.68, -110.64, 3.98, 97.08, -0.63, -8.43, -3.18, 1
2468887,  0.59,  2,  105, -5.50, 6909.69, -92.63, -1.32, 108.98, 0.16, -6.83, -0.31, 1
2469883,  0.62,  5,  109, -8.00, 6985.52, -96.45, 2.01, 78.62, -0.39, -11.10, -1.26, 1
2470879,  0.62,  1,  110, -5.60, 6920.99, -90.27, -2.65, 169.96, 0.39, -8.47, -0.04, 1
2471875,  0.63,  1,  111, -8.50, 7015.96, -92.44, -3.49, 127.24, 0.78, -12.87, -0.55, 1
2472871,  0.63,  2,  112, -5.10, 6928.37, -87.13, 1.36, -153.39, -0.35, -14.87, 0.75, 1
2473867,  0.63,  0,  111, -5.50, 6931.46, -90.52, 0.70, 39.58, -0.16, -12.87, -0.12, 1
2474863,  0.63,  1,  111, -15.50, 7158.00, -84.25, 3.07, 141.30, -0.90, -16.75, 1.69, 1
2475859,  0.63,  1,  111, -5.10, 6938.84, -102.60, 6.11, -11.30, -1.06, -9.65, -2.16, 1
2476855,  0.63,  4,  112, -5.50, 6947.78, -89.51, -5.11, -87.95, 0.82, -9.22, 0.08, 1
2477851,  0.63,  3,  112, -5.30, 6948.81, -89.18, 5.17, -179.77, -0.75, -8.24, 0.12, 1
2478847,  0.66,  5,  116, -5.50, 6959.82, -84.39, 5.91, -66.63, -1.45, -13.96, 1.37, 1
2479843,  0.66,  3,  116, -5.60, 6966.54, -86.17, 0.58, -92.99, -0.20, -19.34, 1.29, 1
2480844,  0.66,  1,  116, -5.40, 6963.10, -94.80, -1.35, 54.41, 0.35, -14.95, -1.26, 1
2481835,  0.66,  1,  117, -10.40, 7089.40, -91.12, -6.38, 151.72, 2.24, -20.01, -0.39, 1
2482832,  0.67,  2,  119, -6.40, 6995.88, -100.40, 1.09, 152.40, -0.16, -8.12, -1.49, 1
2483828,  0.67,  0,  118, -5.40, 6981.20, -100.07, 4.08, -26.00, -0.43, -5.96, -1.06, 1
2484824,  0.66,  2,  117, -6.40, 6998.13, -90.72, -7.15, -167.61, 1.18, -9.38, -0.12, 1
2485820,  0.67,  3,  119, -7.50, 7026.72, -86.82, 4.04, 57.72, -0.55, -7.77, 0.43, 1
2486816,  0.67,  1,  118, -5.70, 7002.46, -86.83, -5.80, -99.52, 1.80, -17.73, 0.98, 1
2487812,  0.67,  1,  119, -9.50, 7110.22, -86.61, 2.25, 120.49, -0.55, -13.93, 0.82, 1
2488808,  0.67,  0,  119, -10.50, 7123.55, -87.01, 0.91, 137.85, -0.27, -17.26, 0.90, 1
2489804,  0.68,  2,  121, -5.60, 7013.71, -86.30, 7.59, -173.07, -2.51, -18.79, 1.22, 1
2490800,  0.70,  3,  124, -9.30, 7096.40, -93.29, -2.47, 52.04, 0.47, -10.90, -0.63, 1
2491796,  0.70,  2,  123, -5.60, 7019.43, -99.93, -5.16, 68.75, 0.43, -4.71, -0.82, 1
2492792,  0.69,  2,  122, -5.60, 7023.42, -91.15, -3.68, 9.17, 0.63, -9.77, -0.20, 1
2493788,  0.68,  1,  120, -17.20, 7270.57, -115.59, 4.84, 77.84, -0.78, -8.36, -4.00, 1
2494784,  0.66,  1,  117, -14.20, 7271.82, -95.29, -1.76, 89.77, 0.31, -10.16, -0.94, 1
2495780,  0.66,  2,  117, -6.00, 7033.66, -87.33, 4.79, 35.47, -1.06, -12.63, 0.59, 1
2496776,  0.66,  1,  116, -6.10, 7041.48, -87.13, 3.32, -33.88, -1.14, -19.57, 0.98, 1
2497772,  0.66,  3,  117, -9.80, 7130.92, -95.95, -4.19, 102.45, 0.94, -12.79, -1.33, 1
2498768,  0.66,  1,  117, -6.00, 7057.83, -89.11, 4.65, -65.89, -0.82, -10.12, 0.16, 1
2499764,  0.67,  3,  119, -7.00, 7080.49, -89.28, -9.23, 43.70, 1.02, -6.28, 0.08, 1
2500760,  0.67,  2,  119, -6.10, 7059.74, -105.80, -10.98, 79.67, 2.04, -10.12, -2.86, 1
2501756,  0.68,  1,  120, -9.80, 7247.05, -90.22, 2.02, 160.45, -0.71, -20.01, -0.08, 1
2502752,  0.68,  2,  121, -32.60, 7123.55, -89.21, -5.15, 108.52, 1.80, -20.01, 0.27, 1
2503748,  0.70,  3,  123, -6.20, 7079.10, -92.54, -7.01, 72.64, 0.98, -7.96, -0.35, 1
2504744,  0.70,  1,  123, -6.00, 7078.75, -89.26, 6.67, 9.07, -0.71, -6.04, 0.08, 1
2505741,  0.72,  5,  127, -5.80, 7080.32, -83.73, 2.12, -126.48, -0.75, -20.01, 2.20, 1
2506737,  0.71,  3,  126, -5.90, 7086.78, -89.68, -4.67, 7.76, 1.14, -13.93, 0.08, 1
2507733,  0.70,  0,  123, -6.10, 7089.23, -84.92, -4.02, 61.03, 1.22, -17.22, 1.53, 1
2508729,  0.70,  4,  124, -7.10, 7110.92, -87.94, 0.29, 5.97, -0.08, -15.30, 0.55, 1
2509725,  0.68,  0,  120, -7.00, 7118.99, -97.24, -0.90, 52.78, 0.04, -2.47, -0.31, 1
2510721,  0.68,  2,  121, -6.30, 7115.13, -94.54, 4.91, -134.74, -0.51, -5.92, -0.47, 1
2511717,  0.68,  4,  121, -6.00, 7109.87, -88.74, -1.39, 30.90, 0.43, -17.77, 0.39, 1
2512713,  0.70,  3,  123, -6.30, 7117.58, -81.74, 5.10, 10.86, -1.80, -20.01, 2.90, 1
2513709,  0.70,  2,  124, -6.70, 7126.88, -95.53, -7.98, -84.27, 1.88, -13.38, -1.29, 1
2514705,  0.68,  0,  121, -6.80, 7133.73, -91.68, -0.63, 15.85, 0.12, -10.67, -0.31, 1
2515701,  0.68,  2,  121, -8.50, 7183.22, -106.59, 13.20, -176.12, -0.90, -3.69, -1.10, 1
2516697,  0.68,  0,  120, -6.50, 7139.35, -87.87, 3.92, 113.95, -1.37, -20.01, 0.75, 1
2517693,  0.69,  2,  122, -7.30, 7158.00, -94.44, 2.51, 99.60, -0.67, -15.14, -1.18, 1
2518689,  0.68,  2,  120, -9.30, 7237.98, -93.58, 2.30, 170.67, -0.35, -8.79, -0.55, 1
2519685,  0.67,  2,  119, -6.80, 7162.23, -87.93, -1.75, -82.62, 0.43, -14.08, 0.51, 1
2520681,  0.68,  1,  120, -6.90, 7168.75, -89.65, -1.21, -144.41, 0.27, -12.98, 0.08, 1
2521677,  0.67,  2,  119, -7.10, 7171.57, -85.60, 4.53, -97.59, -1.22, -15.30, 1.18, 1
2522673,  0.67,  3,  118, -7.50, 7181.81, -94.62, 3.31, 92.91, -0.90, -15.53, -1.26, 1
2523669,  0.67,  3,  119, -7.10, 7181.46, -89.84, 3.22, -138.28, -0.78, -13.93, 0.04, 1
2524666,  0.67,  2,  118, -10.20, 7272.00, -99.59, -2.58, 113.41, 0.39, -8.59, -1.45, 1
2525662,  0.67,  3,  118, -7.20, 7186.93, -95.84, 5.38, 15.68, -0.98, -10.36, -1.06, 1
2526658,  0.65,  0,  115, -7.00, 7217.56, -100.18, 1.20, 133.28, -0.20, -9.18, -1.65, 1
2527654,  0.66,  2,  116, -7.40, 7211.89, -86.42, -2.25, -122.15, 0.67, -16.95, 1.06, 1
2528650,  0.65,  1,  115, -7.20, 7213.13, -86.07, 1.68, -43.13, -0.59, -20.01, 1.37, 1
2529646,  0.63,  1,  111, -12.70, 7336.30, -98.11, 3.38, 108.33, -0.90, -15.14, -2.16, 1
2530642,  0.62,  0,  110, -7.30, 7213.31, -88.75, 1.25, 92.86, -0.24, -10.79, 0.24, 1
2531638,  0.62,  1,  110, -11.40, 7305.07, -102.24, 1.18, 77.99, -0.16, -7.41, -1.61, 1
2532634,  0.63,  3,  111, -7.30, 7229.45, -86.96, -3.39, -18.65, 0.75, -12.55, 0.67, 1
2533630,  0.65,  4,  115, -7.50, 7237.09, -86.48, -4.36, 3.93, 1.22, -15.93, 0.98, 1
2534626,  0.67,  5,  119, -11.00, 7414.31, -89.77, -2.09, 116.38, 0.71, -19.38, 0.08, 1
2535622,  0.68,  2,  120, -7.40, 7243.67, -100.74, 1.94, 14.84, -0.31, -9.10, -1.73, 1
2536618,  0.69,  6,  122, -10.40, 7322.46, -88.20, 1.54, 100.34, -0.24, -8.75, 0.27, 1
2537614,  0.69,  3,  122, -7.50, 7264.86, -85.25, -3.64, -104.98, 0.78, -12.28, 1.02, 1
2538610,  0.66,  0,  117, -7.20, 7256.13, -87.27, 0.91, 5.21, -0.31, -19.73, 0.94, 1
2539606,  0.65,  1,  115, -39.50, 7645.00, -93.34, -6.46, 131.87, 1.29, -11.41, -0.67, 1
2540602,  0.66,  2,  116, -7.50, 7276.81, -113.20, 15.65, -41.31, -3.77, -12.36, -5.30, 1
2541599,  0.66,  1,  116, -7.30, 7279.14, -87.77, 9.15, -27.95, -2.28, -14.12, 0.55, 1
2542595,  0.65,  1,  115, -7.70, 7284.32, -95.68, -0.73, 167.45, 0.20, -15.38, -1.53, 1
2543591,  0.67,  4,  119, -7.40, 7287.71, -88.62, 6.36, -115.67, -1.45, -13.02, 0.31, 1
2544587,  0.67,  1,  118, -7.80, 7298.62, -93.91, -6.29, -17.64, 1.65, -14.91, -1.02, 1
2545583,  0.65,  0,  115, -8.00, 7304.89, -91.04, 2.99, -124.64, -0.90, -17.26, -0.31, 1
2546579,  0.65,  1,  115, -7.70, 7304.53, -91.62, 7.45, -107.62, -1.45, -11.10, -0.31, 1
2547575,  0.66,  2,  116, -10.20, 7371.78, -93.04, 1.52, 95.04, -0.20, -7.37, -0.39, 1
2548571,  0.67,  2,  118, -7.80, 7318.88, -93.52, -15.99, 9.25, 2.20, -7.65, -0.47, 1
2549567,  0.68,  4,  120, -11.90, 7453.76, -92.51, 2.15, 140.80, -0.47, -12.51, -0.55, 1
2550563,  0.67,  1,  118, -7.50, 7320.13, -93.58, 3.14, 156.76, -0.86, -15.69, -0.98, 1
2551559,  0.66,  1,  117, -7.70, 7331.08, -92.17, 0.87, -72.87, -0.24, -15.53, -0.59, 1
2552555,  0.67,  4,  119, -7.70, 7329.47, -90.58, 3.04, -57.20, -0.82, -15.49, -0.16, 1
2553551,  0.68,  3,  121, -8.20, 7348.53, -100.64, 1.13, 179.63, -0.12, -5.84, -1.10, 1
2554547,  0.68,  0,  120, -7.80, 7352.31, -97.35, 0.69, -98.87, -0.12, -9.73, -1.26, 1
2555543,  0.68,  3,  121, -21.90, 7510.07, -107.62, 7.87, 105.58, -1.45, -10.00, -3.18, 1
2556539,  0.70,  3,  123, -8.10, 7360.96, -105.39, -0.52, 32.93, 0.16, -16.67, -4.59, 1
2557535,  0.71,  5,  125, -8.00, 7363.66, -92.81, -5.41, 169.56, 1.14, -12.00, -0.59, 1
2558532,  0.71,  2,  126, -7.50, 7360.96, -99.38, 10.24, -4.69, -3.22, -17.57, -2.90, 1
2559528,  0.70,  1,  124, -8.10, 7372.51, -96.49, -3.50, 45.58, 0.51, -8.28, -0.94, 1
2560524,  0.71,  4,  126, -10.60, 7427.01, -102.24, -11.64, 76.38, 1.37, -6.51, -1.41, 1
2561520,  0.73,  4,  129, -8.00, 7377.92, -101.31, -7.51, 80.27, 1.61, -11.96, -2.39, 1
2562516,  0.72,  1,  128, -12.40, 7527.51, -96.83, -0.47, 133.02, 0.08, -9.49, -1.14, 1
2563512,  0.71,  1,  126, -7.90, 7390.40, -92.13, 5.31, -148.29, -1.57, -16.87, -0.63, 1
2564508,  0.71,  1,  126, -15.00, 7574.50, -92.06, -3.08, 161.84, 0.82, -15.30, -0.55, 1
2565504,  0.68,  0,  121, -7.80, 7395.64, -86.79, 5.64, 82.10, -1.45, -14.67, 0.82, 1
2566500,  0.67,  1,  119, -8.10, 7441.01, -88.69, 9.33, -173.07, -1.41, -8.59, 0.20, 1
2567496,  0.68,  2,  121, -10.50, 7506.58, -93.07, -1.79, 138.84, 0.27, -8.79, -0.47, 1
2568492,  0.66,  0,  117, -8.10, 7416.30, -85.48, 2.93, -57.53, -0.51, -9.92, 0.78, 1
2569488,  0.68,  4,  121, -7.90, 7417.75, -88.09, 6.22, -103.27, -1.92, -17.61, 0.59, 1
2570484,  0.67,  0,  119, -11.50, 7526.04, -87.88, 0.88, 125.98, -0.20, -12.71, 0.47, 1
2571480,  0.66,  2,  117, -7.60, 7424.11, -92.07, 1.84, 83.69, -0.31, -9.77, -0.35, 1
2572477,  0.64,  0,  114, -7.90, 7435.56, -94.15, 3.55, -25.10, -0.47, -7.57, -0.55, 1
2573473,  0.65,  3,  115, -7.90, 7440.28, -87.08, -3.40, -59.97, 0.55, -9.22, 0.47, 1
2574469,  0.66,  1,  116, -7.30, 7431.74, -106.58, 4.43, 66.85, -0.86, -10.67, -3.18, 1
2575465,  0.65,  1,  115, -7.70, 7439.38, -91.09, 1.09, -154.37, -0.31, -16.44, -0.31, 1
2576461,  0.66,  1,  116, -8.10, 7449.93, -88.21, -0.30, -111.72, 0.08, -15.02, 0.47, 1
2577457,  0.67,  5,  119, -8.00, 7455.95, -98.85, -1.32, -25.16, 0.24, -10.08, -1.57, 1
2578453,  0.67,  1,  118, -8.20, 7461.96, -86.08, 1.74, -152.66, -0.31, -10.32, 0.71, 1
2579449,  0.68,  4,  120, -9.70, 7523.83, -101.36, -5.62, 53.69, 0.90, -8.98, -1.80, 1
2580445,  0.67,  0,  119, -8.60, 7478.39, -90.58, -1.16, -28.12, 0.24, -11.61, -0.12, 1
2581441,  0.67,  2,  119, -12.10, 7582.45, -109.77, -1.68, 68.54, 0.31, -10.04, -3.61, 1
2582437,  0.67,  2,  118, -8.30, 7489.18, -89.21, 2.37, -146.30, -0.59, -14.20, 0.20, 1
2583433,  0.66,  2,  117, -13.50, 7641.28, -99.54, -3.26, 45.76, 0.86, -14.95, -2.51, 1
2584429,  0.66,  1,  116, -8.30, 7494.49, -90.51, -8.59, 15.99, 1.33, -8.83, -0.08, 1
2585426,  0.67,  5,  118, -8.00, 7492.11, -107.40, 1.09, 13.30, -0.16, -7.88, -2.47, 1
2586422,  0.69,  4,  122, -8.50, 7506.58, -89.66, 9.63, -80.21, -2.24, -13.18, 0.08, 1
2587418,  0.68,  0,  120, -11.60, 7595.96, -99.83, -3.03, 89.56, 1.06, -19.69, -3.41, 1
2588414,  0.69,  3,  122, -8.30, 7506.58, -91.38, 4.52, -125.66, -1.41, -17.85, -0.43, 1
2589410,  0.71,  4,  125, -8.50, 7510.80, -96.26, -4.85, 157.65, 0.82, -9.65, -1.06, 1
2590435,  0.72,  3,  128, -8.30, 7511.72, -86.16, 7.63, 33.83, -1.65, -12.28, 0.82, 1
2591402,  0.73,  2,  129, -9.30, 7533.02, -91.68, 6.15, -131.64, -0.86, -8.00, -0.24, 1
2592398,  0.72,  1,  127, -9.10, 7540.93, -88.54, 1.46, -150.92, -0.24, -9.26, 0.24, 1
2593394,  0.72,  5,  128, -13.00, 7544.06, -105.23, 11.56, -166.73, -3.45, -16.28, -4.43, 1
2594394,  0.70,  1,  124, -9.20, 7548.85, -99.08, -14.50, 3.07, 3.02, -11.53, -1.84, 1
2595386,  0.71,  3,  125, -9.60, 7563.05, -97.89, 6.18, -41.21, -1.02, -9.34, -1.29, 1
2596382,  0.70,  4,  123, -9.10, 7554.01, -156.26, 6.92, 4.70, -0.86, -2.86, -6.51, 1
2597378,  0.70,  4,  124, -8.70, 7548.67, -100.68, 9.85, 103.19, -2.31, -13.10, -2.47, 1
2598374,  0.71,  1,  125, -9.00, 7566.74, -95.16, -4.46, 46.67, 1.02, -13.02, -1.18, 1
2599371,  0.70,  0,  124, -9.10, 7565.82, -92.80, 1.17, 25.14, -0.39, -19.26, -0.94, 1
2600367,  0.72,  5,  127, -9.90, 7586.15, -105.32, -0.46, -95.80, 0.08, -9.45, -2.59, 1
2601363,  0.73,  3,  129, -9.30, 7576.35, -125.26, -19.39, -14.42, 0.98, -2.28, -1.61, 1
2602359,  0.72,  0,  128, -9.30, 7572.65, -104.65, -2.22, 98.96, 0.59, -14.71, -3.84, 1
2603355,  0.72,  3,  127, -9.30, 7581.34, -93.88, 1.24, 18.00, -0.31, -14.47, -0.98, 1
2604351,  0.73,  3,  129, -9.70, 7590.59, -91.03, 3.22, -17.86, -0.86, -15.34, -0.27, 1
2605347,  0.74,  1,  130, -10.10, 7593.18, -102.14, 5.65, 81.68, -1.57, -15.49, -3.33, 1
2606343,  0.73,  0,  129, -10.00, 7605.23, -94.47, -7.61, -34.89, 0.94, -7.02, -0.55, 1
2607339,  0.74,  4,  131, -13.70, 7699.20, -112.19, -14.50, 73.83, 1.96, -7.02, -2.86, 1
2608335,  0.75,  3,  132, -10.00, 7615.99, -91.00, 1.29, -128.95, -0.35, -15.73, -0.27, 1
2609331,  0.73,  1,  129, -9.80, 7618.22, -87.07, 3.39, 34.54, -1.14, -19.18, 0.98, 1
2610327,  0.74,  2,  130, -9.90, 7624.16, -89.55, 5.06, 166.37, -1.33, -15.06, 0.12, 1
2611324,  0.75,  4,  133, -11.80, 7709.89, -102.43, -1.47, 104.33, 0.31, -11.92, -2.63, 1
2612320,  0.74,  2,  131, -9.90, 7638.67, -87.04, 11.67, -179.24, -1.88, -9.10, 0.47, 1
2613318,  0.74,  2,  130, -9.80, 7642.58, -89.17, 11.68, -149.08, -1.69, -8.16, 0.12, 1
2614312,  0.75,  2,  132, -9.30, 7637.55, -97.83, -4.60, 95.23, 1.02, -12.55, -1.73, 1
2615308,  0.74,  1,  130, -11.30, 7700.70, -103.87, 0.17, 67.68, -0.04, -12.87, -3.18, 1
2616304,  0.72,  0,  127, -9.80, 7653.95, -89.76, 4.30, -154.60, -1.41, -18.79, 0.08, 1
2617300,  0.72,  5,  127, -10.50, 7669.63, -89.51, 9.96, -144.59, -2.43, -13.85, 0.12, 1
2618296,  0.75,  7,  132, -10.00, 7669.82, -101.16, 8.95, -125.87, -1.88, -11.73, -2.31, 1
2619292,  0.76,  3,  134, -31.80, 7893.35, -92.96, -7.35, 83.77, 1.37, -10.63, -0.55, 1
2620288,  0.74,  0,  130, -12.10, 7711.21, -101.63, 9.93, -176.41, -3.10, -17.34, -3.57, 1
2621284,  0.72,  1,  127, -10.30, 7687.21, -92.13, -0.97, -9.46, 0.20, -11.61, -0.43, 1
2622280,  0.73,  3,  129, -10.80, 7697.70, -92.67, -6.52, 97.02, 2.12, -18.51, -0.86, 1
2623277,  0.73,  1,  129, -21.00, 7990.74, -93.98, -6.23, 86.48, 0.86, -7.88, -0.55, 1
2624273,  0.75,  5,  133, -11.00, 7720.03, -103.17, 4.74, -149.80, -0.63, -7.37, -1.73, 1
2625269,  0.77,  3,  136, -10.50, 7713.46, -91.49, -0.30, -79.84, 0.04, -7.53, -0.20, 1
2626265,  0.77,  1,  136, -10.20, 7714.02, -103.26, 6.48, -73.94, -1.84, -15.81, -3.73, 1
2627261,  0.77,  2,  136, -10.40, 7726.80, -89.33, 2.69, 48.82, -0.94, -20.01, 0.24, 1
2628257,  0.80,  5,  141, -10.30, 7724.92, -89.70, 17.58, -62.92, -4.75, -14.98, 0.08, 1
2629253,  0.80,  5,  142, -11.00, 7742.62, -109.14, -7.28, -70.78, 0.90, -6.67, -2.31, 1
2630249,  0.82,  2,  144, -11.40, 7766.01, -110.48, 0.31, 65.92, -0.04, -6.83, -2.55, 1
2631245,  0.82,  2,  144, -10.60, 7735.83, -94.71, -7.24, 52.93, 2.55, -20.01, -1.65, 1
2632241,  0.83,  2,  146, -22.10, 7742.05, -99.01, -2.24, 121.85, 0.71, -17.81, -2.82, 1
2633237,  0.82,  1,  144, -13.00, 7783.41, -96.32, -6.28, 32.10, 1.14, -10.28, -1.14, 1
2634234,  0.82,  2,  145, -10.90, 7758.65, -89.30, -7.27, 25.82, 1.65, -12.91, 0.16, 1
2635230,  0.84,  5,  149, -14.30, 7845.54, -112.96, -0.45, 137.70, 0.04, -4.63, -1.96, 1
2636226,  0.85,  2,  150, -10.90, 7766.20, -98.29, -4.44, 81.19, 1.10, -14.00, -2.04, 1
2637222,  0.83,  2,  147, -14.00, 7886.83, -90.60, 4.92, 118.66, -1.29, -15.02, -0.16, 1
2638218,  0.84,  2,  148, -10.70, 7780.76, -97.01, -2.02, 22.93, 0.51, -14.36, -1.77, 1
2639214,  0.83,  3,  147, -20.00, 8055.38, -117.82, -0.47, 34.59, 0.04, -4.24, -2.24, 1
2640210,  0.86,  4,  151, -10.80, 7787.96, -90.25, -0.88, 10.38, 0.27, -17.89, -0.08, 1
2641206,  0.86,  2,  151, -47.00, 8869.15, -88.20, 1.57, 165.69, -0.55, -19.97, 0.63, 1
2642202,  0.87,  4,  153, -11.20, 7797.05, -92.97, 4.29, -84.61, -1.14, -15.14, -0.78, 1
2643198,  0.86,  1,  152, -11.40, 7819.08, -93.24, -5.02, -156.38, 0.55, -6.24, -0.35, 1
