_RAJ2000	_DEJ2000	recno	RAJ2000	DEJ2000	e_RAJ2000	e_DEJ2000	Field	nobs	mobs	B-V	e_B-V	Vmag	e_Vmag	Bmag	e_Bmag	g'mag	e_g'mag	r'mag	e_r'mag	i'mag	e_i'mag
301.84749800	+44.26967400	14245140	301.847498	+44.269674	0.853	0.827	20122054	4	11	2.451	0.187	15.184	0.109	17.635	0.152	16.547	0.000	14.287	0.000	13.065	0.000
301.81117800	+44.30058500	14245141	301.811178	+44.300585	0.614	0.369	20122054	3	10	0.602	0.052	14.966	0.051	15.568	0.011	15.236	0.006	14.779	0.006		
301.82386000	+44.34620300	14245142	301.823860	+44.346203	0.981	0.490	20122054	5	19	0.133	0.065	11.315	0.053	11.447	0.037	11.288	0.007	11.480	0.203	11.381	0.015
301.84131700	+44.31498700	14245143	301.841317	+44.314987	0.945	0.482	20122054	4	18	0.698	0.053	14.803	0.027	15.500	0.045	15.084	0.035	14.569	0.053	14.405	0.006
301.86089400	+44.31967900	14245144	301.860894	+44.319679	1.027	0.493	20122054	4	15	0.720	0.069	14.973	0.043	15.692	0.055	15.302	0.052	14.734	0.023	14.529	0.000
301.86913400	+44.32195600	14245145	301.869134	+44.321956	1.097	1.045	20122054	2	6	0.849	0.000	15.611	0.000	16.459	0.000	16.011	0.047	15.373	0.021		
301.87044800	+44.32773300	14245146	301.870448	+44.327733	0.645	0.490	20122054	4	11	0.715	0.037	14.376	0.019	15.091	0.033	14.697	0.015	14.165	0.000	13.924	0.000
301.88144900	+44.33662700	14245147	301.881449	+44.336627	1.020	0.462	20122054	3	11	0.494	0.035	14.100	0.027	14.594	0.023	14.300	0.010	13.918	0.026	13.730	0.000
301.93476600	+44.38194800	14245212	301.934766	+44.381948	1.005	0.367	20122054	3	11	0.760	0.026	13.758	0.005	14.518	0.026	14.086	0.052	13.547	0.054	13.209	0.000
301.88864200	+44.37784500	14245223	301.888642	+44.377845	0.868	0.392	20122054	4	17	0.399	0.029	11.988	0.019	12.387	0.022	12.113	0.023	11.921	0.081	11.759	0.012
301.90338100	+44.38649700	14245224	301.903381	+44.386497	1.125	0.684	20122054	2	7	1.194	0.138	16.197	0.079	17.391	0.114	16.869	0.000	15.708	0.000	15.140	0.000
301.90721100	+44.38067900	14245225	301.907211	+44.380679	0.695	0.423	20122054	3	8	1.041	0.104	15.173	0.096	16.214	0.039	15.613	0.087	14.855	0.006		
301.90136600	+44.40107300	14245226	301.901366	+44.401073	0.998	0.484	20122054	4	14	1.301	0.036	12.830	0.031	14.131	0.019	13.478	0.043	12.426	0.033	12.003	0.000
301.86047100	+44.40160700	14245227	301.860471	+44.401607	1.113	0.572	20122054	4	16	1.009	0.064	14.449	0.052	15.459	0.037	14.933	0.051	14.213	0.061	13.766	0.030
301.89451200	+44.40602600	14245228	301.894512	+44.406026	1.015	0.736	20122054	2	4	0.767	0.083	17.586	0.008	18.352	0.082						
301.93652700	+44.44095900	14245229	301.936527	+44.440959	1.173	0.845	20122054	4	11	2.073	0.086	14.526	0.063	16.599	0.058	15.664	0.000	13.798	0.000	12.923	0.000
301.94891200	+44.42441800	14245230	301.948912	+44.424418	0.901	0.730	20122054	3	7	1.996	0.000	14.995	0.000	16.990	0.000	16.021	0.084	14.181	0.032	13.300	0.000
301.93513900	+44.44852600	14245231	301.935139	+44.448526	1.138	0.603	20122054	4	17	0.619	0.049	12.995	0.032	13.613	0.037	13.239	0.052	13.003	0.292	12.516	0.053
301.94629800	+44.44215100	14245232	301.946298	+44.442151	1.112	0.744	20122054	4	8	0.697	0.079	15.487	0.066	16.184	0.044						
301.90133200	+44.46969600	14245234	301.901332	+44.469696	1.083	0.412	20122054	4	14	0.779	0.037	12.932	0.016	13.711	0.033	13.301	0.018	12.671	0.019	12.389	0.000
301.90155100	+44.44226500	14245235	301.901551	+44.442265	1.056	0.503	20122054	3	11	0.957	0.059	14.841	0.030	15.798	0.051	15.293	0.006	14.511	0.030	14.116	0.000
301.91014800	+44.44949100	14245236	301.910148	+44.449491	0.859	0.474	20122054	3	10	0.775	0.079	15.474	0.026	16.249	0.075	15.825	0.008	15.163	0.039		
301.93081200	+44.48786100	14245237	301.930812	+44.487861	0.548	0.646	20122054	2	7	1.548	0.088	15.242	0.076	16.790	0.046	16.113	0.000	14.733	0.000	13.998	0.000
301.93233900	+44.51131200	14245250	301.932339	+44.511312	0.952	0.473	20122054	3	8	0.815	0.034	15.164	0.023	15.979	0.025	15.598	0.000	14.842	0.000		
301.34855700	+44.18809400	14245450	301.348557	+44.188094	0.373	0.456	20122054	5	22	0.426	0.145	12.657	0.104	13.083	0.100	12.793	0.075	12.563	0.109	12.556	0.096
301.36354300	+44.18626500	14245452	301.363543	+44.186265	0.556	0.308	20122054	5	21	0.962	0.040	13.240	0.037	14.202	0.016	13.659	0.041	12.960	0.028	12.815	0.067
301.57006900	+44.16518000	14245483	301.570069	+44.165180	0.461	0.395	20122054	4	18	0.737	0.049	14.736	0.047	15.473	0.016	15.031	0.041	14.499	0.035	14.391	0.050
301.53505200	+44.17058200	14245488	301.535052	+44.170582	0.612	0.629	20122054	5	16	0.521	0.038	12.940	0.010	13.461	0.036	13.132	0.049	12.840	0.017	12.839	0.183
301.55046400	+44.18166800	14245489	301.550464	+44.181668	0.385	0.363	20122054	4	19	0.530	0.066	13.829	0.055	14.359	0.036	14.024	0.045	13.690	0.058	13.609	0.049
301.61043000	+44.16322500	14245494	301.610430	+44.163225	0.684	0.446	20122054	4	19	0.695	0.067	14.600	0.056	15.295	0.036	14.881	0.037	14.438	0.035	14.293	0.103
301.61799900	+44.17712300	14245497	301.617999	+44.177123	0.700	0.584	20122054	4	16	0.964	0.086	15.776	0.076	16.740	0.040	16.196	0.024	15.359	0.044	15.008	0.031
301.61913100	+44.18451700	14245498	301.619131	+44.184517	0.596	0.552	20122054	4	19	0.672	0.060	15.565	0.045	16.237	0.040	15.824	0.044	15.314	0.031	15.102	0.073
301.64077300	+44.18345200	14245499	301.640773	+44.183452	0.645	0.379	20122054	5	24	1.203	0.048	12.369	0.040	13.573	0.026	12.921	0.044	12.009	0.041	11.650	0.008
301.65397200	+44.17294500	14245500	301.653972	+44.172945	0.598	0.359	20122054	5	23	0.167	0.091	10.582	0.056	10.748	0.072	10.736	0.168	10.646	0.047	10.829	0.070
301.66661300	+44.18620800	14245501	301.666613	+44.186208	1.003	0.737	20122054	2	5	0.915	0.042	15.352	0.000	16.267	0.042	15.842	0.000	15.050	0.000	14.907	0.000
301.66666000	+44.18744700	14245502	301.666660	+44.187447	1.313	0.845	20122054	2	5	0.411	0.034	15.512	0.000	15.923	0.034	15.656	0.000	15.077	0.000	14.762	0.000
301.68136700	+44.20340500	14245503	301.681367	+44.203405	0.623	0.587	20122054	3	3											12.965	0.075
301.69474900	+44.22109100	14245504	301.694749	+44.221091	0.684	0.380	20122054	5	23	0.443	0.068	10.784	0.059	11.227	0.034	11.028	0.090	10.663	0.049	10.633	0.061
301.70185200	+44.19537300	14245505	301.701852	+44.195373	0.608	0.374	20122054	5	22	0.860	0.046	12.164	0.033	13.024	0.033	12.538	0.043	11.928	0.049	11.760	0.030
301.64603800	+44.22232300	14245506	301.646038	+44.222323	0.496	0.648	20122054	4	15	0.665	0.074	15.662	0.064	16.327	0.036	15.925	0.040	15.500	0.069	15.257	0.000
301.65679300	+44.19737300	14245507	301.656793	+44.197373	0.889	0.822	20122054	2	5							16.954	0.034	16.274	0.023	16.198	0.000
301.66322000	+44.21740800	14245508	301.663220	+44.217408	1.207	0.281	20122054	4	7	1.123	0.000	15.136	0.000	16.259	0.000	15.606	0.125	14.276	0.008	13.806	0.032
301.67010300	+44.23280200	14245509	301.670103	+44.232802	0.871	0.436	20122054	4	16	2.074	0.030	14.925	0.026	16.999	0.016	15.917	0.092	14.140	0.027	13.240	0.092
301.67971600	+44.22435700	14245510	301.679716	+44.224357	0.617	0.365	20122054	4	19	1.154	0.041	13.371	0.030	14.525	0.028	13.924	0.048	12.988	0.044	12.572	0.027
301.57226700	+44.17778300	14245511	301.572267	+44.177783	0.531	0.377	20122054	4	17	0.772	0.055	14.773	0.029	15.546	0.047	15.101	0.044	14.537	0.041	14.331	0.000
301.58343100	+44.16362700	14245512	301.583431	+44.163627	0.560	0.500	20122054	4	18	0.790	0.042	14.209	0.016	14.999	0.038	14.545	0.037	13.978	0.042	13.747	0.014
301.60016000	+44.21837700	14245513	301.600160	+44.218377	0.983	0.529	20122054	3	9	1.138	0.161	16.544	0.142	17.682	0.077	17.059	0.055	16.064	0.036	15.411	0.000
301.61206500	+44.20244300	14245514	301.612065	+44.202443	0.748	0.516	20122054	4	17	0.612	0.041	15.416	0.029	16.029	0.029	15.657	0.036	15.241	0.025	15.196	0.000
301.61449200	+44.21100700	14245515	301.614492	+44.211007	0.627	0.530	20122054	4	19	0.670	0.037	14.175	0.029	14.845	0.024	14.448	0.055	13.981	0.062	13.860	0.015
301.62128400	+44.20680000	14245516	301.621284	+44.206800	0.737	0.365	20122054	3	12	0.661	0.041	13.790	0.026	14.451	0.031	14.036	0.023	13.599	0.021	13.417	0.031
301.56761200	+44.19540300	14245517	301.567612	+44.195403	0.804	0.695	20122054	2	11	0.697	0.057	16.414	0.022	17.111	0.053	16.671	0.000	16.090	0.000	15.569	0.000
301.56932200	+44.20556400	14245518	301.569322	+44.205564	0.280	0.291	20122054	2	6							16.706	0.006	15.903	0.016		
301.55932600	+44.22195200	14245519	301.559326	+44.221952	0.624	0.581	20122054	4	16	0.977	0.079	15.468	0.042	16.446	0.067	15.885	0.048	15.127	0.060	14.907	0.118
301.56285700	+44.24039100	14245520	301.562857	+44.240391	0.334	0.409	20122054	4	18	0.580	0.045	13.929	0.024	14.508	0.038	14.152	0.040	13.748	0.027	13.611	0.010
301.56944000	+44.24604800	14245521	301.569440	+44.246048	0.928	1.078	20122054	2	5			15.039	0.000			15.376	0.000	14.837	0.068	14.601	0.000
301.56986700	+44.24635800	14245522	301.569867	+44.246358	0.094	0.130	20122054	2	2					15.854	0.000	15.359	0.014				
301.57351700	+44.21241800	14245523	301.573517	+44.212418	0.420	0.455	20122054	3	8	0.778	0.016	15.502	0.011	16.279	0.011	15.865	0.000	15.222	0.000		
301.57431100	+44.23192500	14245524	301.574311	+44.231925	0.617	0.313	20122054	5	22	1.507	0.062	13.022	0.046	14.529	0.042	13.733	0.054	12.517	0.033	11.981	0.057
301.58631500	+44.21313500	14245525	301.586315	+44.213135	0.584	0.567	20122054	3	6	0.661	0.084	15.162	0.077	15.823	0.033						
301.61250100	+44.22161200	14245526	301.612501	+44.221612	0.695	0.700	20122054	4	15	0.896	0.085	15.994	0.056	16.890	0.064	16.399	0.067	15.649	0.089	15.498	0.000
301.62457900	+44.21825800	14245527	301.624579	+44.218258	0.722	0.422	20122054	4	18	0.731	0.065	15.141	0.059	15.871	0.027	15.424	0.048	14.934	0.023	14.779	0.014
301.63366900	+44.21877600	14245528	301.633669	+44.218776	1.049	0.722	20122054	2	4							17.730	0.008	16.990	0.025		
301.63103700	+44.26793500	14245529	301.631037	+44.267935	0.635	0.471	20122054	4	18	0.904	0.066	14.654	0.036	15.558	0.055	15.041	0.054	14.361	0.040	14.085	0.068
301.63406500	+44.25539000	14245530	301.634065	+44.255390	0.957	0.372	20122054	4	12	0.715	0.145	16.113	0.057	16.828	0.133	16.419	0.053	15.887	0.017		
301.65134200	+44.24279500	14245531	301.651342	+44.242795	0.738	0.566	20122054	4	25	0.755	0.024	15.058	0.022	15.814	0.010	15.380	0.045	14.845	0.061	14.594	0.016
301.57871300	+44.25063800	14245532	301.578713	+44.250638	0.592	0.566	20122054	4	18	0.692	0.072	14.828	0.064	15.521	0.032	15.109	0.053	14.582	0.040	14.362	0.015
301.59517100	+44.26142200	14245533	301.595171	+44.261422	0.905	0.679	20122054	3	8	0.804	0.083	15.641	0.047	16.445	0.068	15.902	0.000	15.415	0.000		
301.59944500	+44.22684900	14245534	301.599445	+44.226849	0.931	0.856	20122054	2	4	0.659	0.000	16.298	0.000	16.957	0.000	16.521	0.041	16.224	0.000		
301.60145800	+44.25286400	14245535	301.601458	+44.252864	0.568	1.252	20122054	2	4	0.621	0.468	16.975	0.447	17.596	0.138						
301.60151200	+44.25788900	14245536	301.601512	+44.257889	0.659	0.483	20122054	4	18	0.962	0.057	14.081	0.049	15.043	0.030	14.528	0.053	13.786	0.048	13.525	0.020
301.61266600	+44.25154500	14245537	301.612666	+44.251545	0.499	0.354	20122054	4	19	0.413	0.069	14.086	0.064	14.499	0.026	14.208	0.036	14.010	0.055	13.957	0.016
301.60779700	+44.26822600	14245538	301.607797	+44.268226	0.785	0.413	20122054	5	24	0.431	0.055	12.890	0.035	13.321	0.042	13.041	0.025	12.806	0.032	12.737	0.000
301.46950700	+44.15827700	14245542	301.469507	+44.158277	1.407	0.753	20122054	3	8	0.684	0.327	15.542	0.006	16.226	0.327	15.935	0.057	15.300	0.051		
301.43784200	+44.18211300	14245547	301.437842	+44.182113	0.486	0.354	20122054	5	24	0.692	0.048	12.916	0.036	13.608	0.033	13.195	0.050	12.763	0.016	12.576	0.010
301.45826700	+44.18267500	14245548	301.458267	+44.182675	0.652	1.190	20122054	3	6	0.696	0.000	16.401	0.000	17.097	0.000	16.796	0.061	16.157	0.017		
301.46962800	+44.17113000	14245549	301.469628	+44.171130	0.649	0.399	20122054	4	17	0.809	0.084	15.155	0.047	15.964	0.070	15.471	0.033	14.922	0.060	14.635	0.000
301.48315300	+44.17363600	14245550	301.483153	+44.173636	0.389	0.372	20122054	4	18	0.603	0.027	13.969	0.008	14.572	0.026	14.193	0.040	13.761	0.049	13.654	0.000
301.49329500	+44.19829500	14245551	301.493295	+44.198295	0.540	0.713	20122054	4	7	0.739	0.036	15.447	0.036	16.186	0.000	15.765	0.000	15.181	0.000	14.789	0.137
301.49546600	+44.18914600	14245552	301.495466	+44.189146	0.410	0.722	20122054	2	7	0.746	0.048	16.032	0.043	16.778	0.021	16.336	0.000	15.830	0.000	15.587	0.000
301.49667100	+44.17287000	14245553	301.496671	+44.172870	0.360	0.466	20122054	4	19	0.675	0.067	14.717	0.057	15.392	0.036	14.975	0.048	14.505	0.062	14.313	0.046
301.49909000	+44.18221600	14245554	301.499090	+44.182216	0.477	0.358	20122054	4	19	0.673	0.046	14.532	0.043	15.205	0.017	14.797	0.030	14.321	0.023	14.120	0.089
301.50984400	+44.20885000	14245555	301.509844	+44.208850	0.573	0.279	20122054	4	16	0.591	0.051	13.768	0.041	14.359	0.030	14.019	0.028	13.598	0.000	13.447	0.006
301.52856300	+44.19911600	14245556	301.528563	+44.199116	0.534	0.372	20122054	5	23	1.078	0.053	12.112	0.033	13.190	0.042	12.579	0.058	11.766	0.024	11.407	0.010
301.47218300	+44.20970300	14245557	301.472183	+44.209703	0.713	0.448	20122054	4	17	0.765	0.059	15.508	0.023	16.273	0.055	15.837	0.046	15.228	0.041	15.030	0.000
301.47026500	+44.22670000	14245558	301.470265	+44.226700	1.016	0.959	20122054	2	5							15.072	0.081	14.550	0.050	14.193	0.000
301.48052300	+44.24080600	14245559	301.480523	+44.240806	0.407	0.380	20122054	5	24	0.554	0.048	11.796	0.036	12.350	0.032	12.005	0.040	11.642	0.038	11.507	0.043
301.39570400	+44.19234100	14245560	301.395704	+44.192341	0.567	0.470	20122054	4	18	0.615	0.047	15.241	0.036	15.857	0.031	15.478	0.045	15.035	0.051	14.937	0.010
301.41823700	+44.22107100	14245561	301.418237	+44.221071	0.574	1.595	20122054	3	7	0.773	0.063	13.811	0.010	14.584	0.063	13.977	0.006	13.625	0.000	13.474	0.000
301.42077800	+44.18997700	14245562	301.420778	+44.189977	0.422	0.834	20122054	2	4	0.889	0.000	15.813	0.000	16.701	0.000	16.099	0.027	15.573	0.000		
301.43641500	+44.20167000	14245563	301.436415	+44.201670	0.645	0.775	20122054	3	12	1.809	0.133	15.796	0.006	17.605	0.133	16.716	0.074	15.188	0.043	14.405	0.032
301.36818500	+44.19662700	14245564	301.368185	+44.196627	0.654	0.784	20122054	4	10	0.894	0.128	15.592	0.061	16.486	0.113	15.967	0.021	15.309	0.070		
301.37344500	+44.20295300	14245565	301.373445	+44.202953	0.478	0.388	20122054	5	22	0.293	0.063	13.033	0.045	13.326	0.044	13.082	0.042	12.994	0.060	13.047	0.000
301.37653600	+44.21555500	14245566	301.376536	+44.215555	0.546	0.828	20122054	4	16	0.720	0.106	15.524	0.100	16.244	0.034	15.765	0.052	15.258	0.069		
301.37959300	+44.23208200	14245567	301.379593	+44.232082	0.438	0.358	20122054	4	18	0.697	0.050	14.644	0.032	15.341	0.039	14.927	0.036	14.434	0.055	14.252	0.068
301.38968900	+44.21092500	14245568	301.389689	+44.210925	0.713	0.692	20122054	5	21	0.594	0.066	13.990	0.054	14.585	0.038	14.229	0.043	13.867	0.005	13.703	0.082
301.39831300	+44.22614600	14245569	301.398313	+44.226146	0.348	0.471	20122054	4	19	0.639	0.036	14.603	0.028	15.242	0.023	14.841	0.036	14.409	0.047	14.231	0.050
301.40113600	+44.21114600	14245570	301.401136	+44.211146	0.328	0.353	20122054	4	19	0.620	0.058	14.204	0.047	14.824	0.033	14.452	0.040	14.005	0.030	13.870	0.011
301.43664600	+44.23661800	14245571	301.436646	+44.236618	0.278	0.910	20122054	4	17	0.589	0.080	14.868	0.042	15.457	0.068	15.085	0.057	14.750	0.115	14.519	0.000
301.44900100	+44.21345600	14245572	301.449001	+44.213456	0.707	0.714	20122054	3	5							16.865	0.055	15.010	0.033	14.029	0.033
301.45454000	+44.23082500	14245573	301.454540	+44.230825	0.473	0.484	20122054	5	21	0.580	0.043	13.755	0.037	14.335	0.023	13.984	0.040	13.585	0.053	13.438	0.021
301.43417100	+44.25342800	14245574	301.434171	+44.253428	0.914	1.000	20122054	2	6	0.975	0.071	15.425	0.000	16.400	0.071	15.978	0.000	14.946	0.000		
301.45337700	+44.24969600	14245575	301.453377	+44.249696	0.691	0.447	20122054	4	17	0.572	0.064	14.845	0.020	15.416	0.061	15.056	0.055	14.643	0.075	14.541	0.000
301.40457200	+44.26384800	14245576	301.404572	+44.263848	0.908	0.950	20122054	3	6	1.192	0.000	16.044	0.000	17.236	0.000	16.614	0.000	15.700	0.029		
301.40744700	+44.24920500	14245577	301.407447	+44.249205	0.425	0.479	20122054	4	19	0.557	0.062	14.181	0.040	14.738	0.047	14.387	0.045	14.035	0.059	13.892	0.022
301.42296100	+44.24586700	14245578	301.422961	+44.245867	0.768	0.618	20122054	3	8	0.858	0.106	16.210	0.086	17.068	0.063	16.580	0.000	15.969	0.000		
301.42430300	+44.29145100	14245579	301.424303	+44.291451	0.319	0.030	20122054	2	2											14.974	0.100
301.42857500	+44.26310800	14245580	301.428575	+44.263108	0.470	0.326	20122054	4	18	0.902	0.048	14.605	0.033	15.507	0.035	14.973	0.039	14.328	0.049	14.091	0.014
301.44180600	+44.27294300	14245581	301.441806	+44.272943	1.603	0.273	20122054	2	4	0.896	0.118	16.796	0.118	17.692	0.014						
301.52764500	+44.21616500	14245582	301.527645	+44.216165	0.561	0.801	20122054	4	14	0.577	0.063	15.529	0.036	16.106	0.051	15.735	0.044	15.285	0.062		
301.52957300	+44.22744300	14245583	301.529573	+44.227443	0.451	0.430	20122054	5	23	0.277	0.079	13.403	0.068	13.681	0.041	13.449	0.040	13.388	0.080	13.455	0.017
301.53574500	+44.25804300	14245584	301.535745	+44.258043	0.530	0.708	20122054	2	7	0.803	0.000	16.542	0.000	17.346	0.000	16.871	0.030	16.200	0.060	16.033	0.000
301.54261500	+44.25041600	14245585	301.542615	+44.250416	1.042	0.570	20122054	4	10	0.895	0.000	15.768	0.000	16.663	0.000	16.193	0.079	15.525	0.044	15.230	0.073
301.49092600	+44.26652800	14245586	301.490926	+44.266528	0.498	0.878	20122054	4	19	0.879	0.076	15.439	0.047	16.318	0.060	15.789	0.037	15.090	0.029	14.886	0.045
301.51413700	+44.23856500	14245587	301.514137	+44.238565	0.418	0.450	20122054	5	23	0.476	0.053	12.876	0.044	13.352	0.029	13.043	0.051	12.744	0.044	12.665	0.015
301.51881000	+44.28963000	14245588	301.518810	+44.289630	0.680	0.405	20122054	4	19	0.659	0.074	14.815	0.070	15.474	0.022	15.086	0.050	14.600	0.064	14.377	0.024
301.52301300	+44.26809400	14245589	301.523013	+44.268094	0.482	0.911	20122054	2	9	0.843	0.138	15.693	0.055	16.535	0.126	16.031	0.108	15.332	0.024	15.133	0.000
301.53408100	+44.27056000	14245590	301.534081	+44.270560	0.316	0.336	20122054	4	18	0.628	0.055	14.054	0.043	14.682	0.033	14.300	0.040	13.885	0.047	13.755	0.008
301.54202100	+44.27414500	14245591	301.542021	+44.274145	0.489	0.475	20122054	5	23	0.657	0.054	12.628	0.039	13.285	0.037	12.883	0.041	12.437	0.049	12.285	0.000
301.54995200	+44.26821300	14245592	301.549952	+44.268213	0.704	0.305	20122054	4	19	0.484	0.053	14.160	0.037	14.643	0.037	14.330	0.031	14.026	0.050	13.950	0.005
301.56369000	+44.27027900	14245593	301.563690	+44.270279	0.508	0.578	20122054	4	17	0.573	0.046	13.372	0.031	13.945	0.034	13.574	0.048	13.117	0.019	12.833	0.000
301.57537800	+44.32081900	14245594	301.575378	+44.320819	0.618	0.387	20122054	4	19	1.645	0.047	14.052	0.045	15.697	0.014	14.847	0.063	13.467	0.033	12.817	0.034
301.58041600	+44.31232600	14245595	301.580416	+44.312326	0.977	0.365	20122054	4	19	0.582	0.080	14.971	0.023	15.554	0.076	15.152	0.097	14.739	0.045	14.472	0.039
301.59881100	+44.29982300	14245596	301.598811	+44.299823	0.803	0.474	20122054	4	19	1.230	0.120	15.460	0.083	16.689	0.086	16.035	0.057	15.130	0.030	14.673	0.058
301.52811400	+44.31720500	14245597	301.528114	+44.317205	0.470	0.346	20122054	5	21	0.337	0.094	9.897	0.000	10.234	0.094	10.309	0.314	9.942	0.000	10.101	0.000
301.54179100	+44.28318500	14245598	301.541791	+44.283185	0.847	0.233	20122054	2	8	0.867	0.114	15.326	0.010	16.193	0.114	15.722	0.000	15.104	0.000	14.804	0.034
301.45638100	+44.28167400	14245599	301.456381	+44.281674	0.436	0.391	20122054	4	19	0.832	0.068	14.944	0.046	15.776	0.050	15.291	0.036	14.700	0.043	14.495	0.057
301.45779400	+44.27058900	14245600	301.457794	+44.270589	0.658	0.730	20122054	4	13	0.796	0.127	16.101	0.091	16.897	0.088	16.346	0.072	15.807	0.077	15.669	0.000
301.46348000	+44.26293800	14245601	301.463480	+44.262938	0.492	0.643	20122054	3	13	0.656	0.074	15.381	0.063	16.036	0.038	15.662	0.038	15.151	0.051	15.140	0.000
301.47505500	+44.26502700	14245602	301.475055	+44.265027	0.533	0.323	20122054	5	24	1.312	0.051	13.077	0.037	14.389	0.035	13.689	0.051	12.661	0.020	12.240	0.021
301.47875500	+44.27363200	14245603	301.478755	+44.273632	0.369	0.491	20122054	4	19	0.750	0.043	13.795	0.033	14.545	0.028	14.103	0.039	13.577	0.054	13.357	0.020
301.47927800	+44.25728700	14245604	301.479278	+44.257287	0.516	0.544	20122054	5	22	0.875	0.053	12.774	0.037	13.648	0.037	13.143	0.046	12.512	0.049	12.278	0.054
301.47568300	+44.31966700	14245605	301.475683	+44.319667	0.474	0.316	20122054	4	19	0.806	0.052	13.669	0.032	14.475	0.041	14.003	0.047	13.413	0.041	13.126	0.005
301.48330900	+44.30538200	14245606	301.483309	+44.305382	0.628	0.769	20122054	4	14	0.787	0.048	16.040	0.022	16.827	0.043	16.386	0.033	15.768	0.034		
301.50346000	+44.29224200	14245607	301.503460	+44.292242	0.514	0.685	20122054	4	12	0.862	0.113	15.748	0.084	16.611	0.076	16.114	0.069	15.450	0.006		
301.41966600	+44.29913500	14245608	301.419666	+44.299135	1.148	0.832	20122054	4	8	0.921	0.143	16.246	0.069	17.167	0.125						
301.43749800	+44.30937300	14245609	301.437498	+44.309373	0.511	0.476	20122054	4	16	0.800	0.076	15.261	0.016	16.061	0.075	15.627	0.031	15.042	0.017	14.752	0.037
301.44932100	+44.30448100	14245610	301.449321	+44.304481	0.673	0.716	20122054	3	10	0.775	0.099	16.426	0.077	17.200	0.063	16.811	0.071	16.165	0.041		
301.44975700	+44.34828100	14245611	301.449757	+44.348281	0.904	0.413	20122054	3	10	1.081	0.071	15.552	0.000	16.633	0.071	16.053	0.052	15.282	0.030	14.964	0.021
301.45713600	+44.31503400	14245612	301.457136	+44.315034	0.673	0.691	20122054	4	12	0.895	0.000	16.314	0.000	17.209	0.000	16.676	0.075	15.931	0.065	15.621	0.138
301.47116400	+44.32601500	14245613	301.471164	+44.326015	0.652	0.603	20122054	3	9	0.936	0.080	15.254	0.076	16.190	0.023	15.738	0.000	14.898	0.000	14.572	0.000
301.48669500	+44.32410600	14245614	301.486695	+44.324106	0.600	0.422	20122054	3	14	1.189	0.075	14.783	0.068	15.971	0.032	15.344	0.033	14.374	0.030	13.953	0.063
301.49271600	+44.31659400	14245615	301.492716	+44.316594	1.019	0.845	20122054	2	6	0.769	0.073	16.159	0.000	16.927	0.073	16.536	0.008	15.766	0.018		
301.50476500	+44.35023500	14245616	301.504765	+44.350235	0.687	0.562	20122054	4	15	0.793	0.051	15.588	0.033	16.380	0.039	15.915	0.025	15.305	0.029	15.058	0.000
301.50795600	+44.36929600	14245617	301.507956	+44.369296	0.496	0.253	20122054	5	21	0.747	0.046	12.788	0.035	13.535	0.029	13.104	0.042	12.558	0.049	12.311	0.029
301.51089800	+44.36095400	14245618	301.510898	+44.360954	0.393	0.461	20122054	3	13	0.812	0.034	15.695	0.031	16.507	0.014	16.014	0.011	15.398	0.014	15.134	0.000
301.51507900	+44.33892300	14245619	301.515079	+44.338923	0.470	0.596	20122054	4	17	0.864	0.082	15.375	0.038	16.240	0.073	15.735	0.051	15.100	0.024	14.814	0.000
301.52080700	+44.34693900	14245620	301.520807	+44.346939	0.563	0.416	20122054	4	18	0.810	0.051	14.160	0.033	14.970	0.039	14.529	0.042	13.884	0.012	13.452	0.169
301.48430200	+44.39087900	14245621	301.484302	+44.390879	0.727	0.497	20122054	4	17	1.770	0.086	14.960	0.057	16.730	0.064	15.840	0.084	14.302	0.031	13.534	0.017
301.50000900	+44.36165400	14245622	301.500009	+44.361654	0.447	0.525	20122054	5	21	0.631	0.055	13.659	0.037	14.290	0.040	13.908	0.042	13.448	0.061	13.271	0.012
301.31344800	+44.20975800	14245686	301.313448	+44.209758	0.238	0.468	20122054	4	19	0.549	0.054	14.671	0.050	15.220	0.021	14.880	0.040	14.547	0.039	14.452	0.017
301.33386900	+44.20629100	14245687	301.333869	+44.206291	0.502	0.723	20122054	4	15	0.698	0.064	15.713	0.049	16.411	0.040	16.008	0.042	15.502	0.070	15.325	0.000
301.29679200	+44.24555000	14245693	301.296792	+44.245550	0.349	0.379	20122054	5	21	0.503	0.048	12.956	0.028	13.459	0.038	13.152	0.032	12.851	0.024	12.766	0.030
301.30420600	+44.22813100	14245694	301.304206	+44.228131	0.301	0.431	20122054	5	29	0.576	0.037	11.548	0.022	12.125	0.030	11.760	0.036	11.399	0.034	11.284	0.036
301.27091100	+44.22499900	14245715	301.270911	+44.224999	0.533	0.540	20122054	4	18	0.702	0.079	15.121	0.042	15.824	0.066	15.389	0.061	14.866	0.063	14.637	0.050
301.25959100	+44.25711400	14245716	301.259591	+44.257114	0.408	0.391	20122054	4	19	0.572	0.031	14.474	0.021	15.046	0.022	14.677	0.057	14.271	0.026	14.069	0.059
301.26318900	+44.24360000	14245717	301.263189	+44.243600	0.335	0.786	20122054	4	17	0.801	0.070	15.453	0.037	16.254	0.059	15.802	0.062	15.130	0.037	14.897	0.100
