_RAJ2000	_DEJ2000	recno	RAJ2000	DEJ2000	e_RAJ2000	e_DEJ2000	Field	nobs	mobs	B-V	e_B-V	Vmag	e_Vmag	Bmag	e_Bmag	g'mag	e_g'mag	r'mag	e_r'mag	i'mag	e_i'mag
301.39429800	+44.74321500	14246436	301.394298	+44.743215	0.511	0.584	20122054	3	11	1.017	0.113	15.650	0.108	16.668	0.033	16.040	0.059	15.203	0.036	14.944	0.000
301.41513400	+44.74356900	14246438	301.415134	+44.743569	1.040	0.327	20122054	5	16	1.327	0.000	12.982	0.000	14.309	0.000	13.611	0.077	12.455	0.048	11.845	0.048
301.36722800	+44.72590300	14246439	301.367228	+44.725903	0.842	0.930	20122054	2	4	0.669	0.000	16.735	0.000	17.404	0.000	17.228	0.068	16.271	0.000		
301.59520400	+44.62379300	14246443	301.595204	+44.623793	1.028	0.688	20122054	4	22	0.644	0.059	15.378	0.054	16.022	0.023	15.620	0.076	15.120	0.044	14.933	0.108
301.60038700	+44.61095800	14246444	301.600387	+44.610958	1.422	0.752	20122054	3	5	1.179	0.171	16.552	0.000	17.731	0.171			15.750	0.000	14.934	0.060
301.60254100	+44.63818700	14246445	301.602541	+44.638187	0.915	0.893	20122054	2	4	0.567	0.000	16.519	0.000	17.086	0.000	16.701	0.052	15.981	0.000		
301.61360800	+44.64136100	14246446	301.613608	+44.641361	0.871	0.795	20122054	3	8	1.909	0.000	15.568	0.000	17.478	0.000	16.454	0.011	14.696	0.043	13.822	0.068
301.62207200	+44.65584900	14246447	301.622072	+44.655849	1.055	1.126	20122054	2	4	0.723	0.069	16.070	0.000	16.793	0.069	16.622	0.000	15.978	0.000		
301.62296300	+44.64837700	14246448	301.622963	+44.648377	0.707	0.386	20122054	4	18	0.622	0.086	14.599	0.066	15.222	0.055	14.847	0.062	14.366	0.061	14.179	0.018
301.63428000	+44.64251700	14246449	301.634280	+44.642517	0.802	0.704	20122054	3	13	0.777	0.056	15.909	0.054	16.685	0.016	16.219	0.073	15.671	0.056	15.387	0.000
301.58632900	+44.66632300	14246450	301.586329	+44.666323	0.594	0.301	20122054	5	24	0.456	0.231	10.027	0.023	10.483	0.230	10.347	0.131	9.923	0.000	9.926	0.000
301.59623900	+44.67316900	14246451	301.596239	+44.673169	0.674	0.993	20122054	2	9	0.683	0.102	14.899	0.032	15.583	0.097	15.130	0.081	14.706	0.045	14.418	0.000
301.60301800	+44.65849600	14246452	301.603018	+44.658496	0.693	0.405	20122054	5	24	0.518	0.061	12.901	0.039	13.419	0.047	13.098	0.052	12.714	0.071	12.521	0.056
301.62474400	+44.68835700	14246453	301.624744	+44.688357	0.765	0.493	20122054	4	18	0.619	0.052	15.185	0.032	15.804	0.042	15.441	0.090	14.926	0.050	14.806	0.006
301.63428300	+44.68304800	14246454	301.634283	+44.683048	0.758	0.417	20122054	4	23	0.517	0.066	14.424	0.049	14.941	0.044	14.630	0.060	14.217	0.056	14.023	0.073
301.64441600	+44.67152900	14246455	301.644416	+44.671529	0.885	0.724	20122054	4	15	0.935	0.192	14.582	0.033	15.517	0.189	14.982	0.155	14.150	0.058	13.661	0.071
301.63763700	+44.70653900	14246456	301.637637	+44.706539	0.809	0.725	20122054	3	10	0.560	0.075	15.624	0.052	16.184	0.055	15.896	0.032	15.368	0.085		
301.64744900	+44.69748900	14246457	301.647449	+44.697489	0.776	0.713	20122054	3	6	1.058	0.134	16.278	0.000	17.336	0.134	16.810	0.029	15.734	0.020		
301.65061100	+44.70653400	14246458	301.650611	+44.706534	0.928	0.420	20122054	3	10	0.895	0.037	15.312	0.000	16.207	0.037	15.681	0.070	14.978	0.022		
301.65440300	+44.68973100	14246459	301.654403	+44.689731	0.611	0.312	20122054	4	18	0.669	0.076	13.703	0.055	14.372	0.052	13.978	0.056	13.450	0.071	13.247	0.008
301.65552600	+44.67886900	14246460	301.655526	+44.678869	1.028	0.363	20122054	3	6	1.086	0.079	16.112	0.068	17.199	0.042						
301.66525200	+44.70628200	14246461	301.665252	+44.706282	0.723	0.549	20122054	5	19	1.310	0.046	11.997	0.025	13.308	0.039	12.640	0.064	11.577	0.032	11.137	0.032
301.59277200	+44.69244900	14246462	301.592772	+44.692449	0.779	1.228	20122054	3	6	0.840	0.146	15.921	0.097	16.761	0.110	16.545	0.000	15.682	0.000		
301.59764300	+44.68727000	14246463	301.597643	+44.687270	0.574	0.375	20122054	4	16	0.646	0.094	14.578	0.077	15.224	0.053	14.854	0.061	14.306	0.075	13.919	0.058
301.61201500	+44.70377300	14246464	301.612015	+44.703773	0.657	0.410	20122054	3	14	1.700	0.141	14.913	0.055	16.613	0.130	15.743	0.093	14.316	0.046	13.622	0.052
301.61277900	+44.68646600	14246465	301.612779	+44.686466	0.911	0.488	20122054	3	10	1.398	0.085	16.267	0.083	17.665	0.019	16.963	0.031	15.589	0.075	14.974	0.008
301.56162700	+44.66345600	14246466	301.561627	+44.663456	0.971	0.835	20122054	3	6	0.985	0.124	16.361	0.115	17.346	0.046	16.875	0.063	15.998	0.000		
301.50656900	+44.71219100	14246467	301.506569	+44.712191	0.735	0.342	20122054	5	21	0.575	0.061	13.134	0.032	13.710	0.052	13.372	0.053	12.926	0.049	12.709	0.006
301.51293800	+44.69940800	14246468	301.512938	+44.699408	0.501	0.456	20122054	5	21	0.665	0.062	13.581	0.039	14.247	0.048	13.865	0.052	13.346	0.061	13.141	0.023
301.52074200	+44.67616000	14246469	301.520742	+44.676160	0.551	0.347	20122054	5	24	0.661	0.063	12.079	0.046	12.740	0.042	12.353	0.053	11.854	0.052	11.607	0.065
301.53137500	+44.69030600	14246470	301.531375	+44.690306	0.461	0.404	20122054	4	18	0.872	0.065	13.704	0.041	14.576	0.050	14.085	0.059	13.405	0.061	13.152	0.034
301.57825900	+44.74671100	14246471	301.578259	+44.746711	0.492	0.863	20122054	4	15	0.552	0.175	13.482	0.158	14.034	0.074	13.647	0.098	13.138	0.039	12.862	0.000
301.59521800	+44.73233700	14246473	301.595218	+44.732337	1.602	0.417	20122054	2	4	0.833	0.107	16.177	0.099	17.010	0.040						
301.59931400	+44.74707900	14246474	301.599314	+44.747079	0.857	0.434	20122054	4	18	0.596	0.068	14.048	0.036	14.643	0.058	14.302	0.080	13.863	0.011	13.629	0.028
301.60015400	+44.72422900	14246475	301.600154	+44.724229	0.594	0.395	20122054	4	18	0.648	0.082	14.289	0.069	14.936	0.044	14.557	0.055	14.061	0.068	13.863	0.031
301.54344300	+44.74199000	14246476	301.543443	+44.741990	0.586	1.067	20122054	4	17	1.484	0.212	15.498	0.075	16.982	0.198	16.202	0.072	14.934	0.052	14.240	0.083
301.55022900	+44.75260100	14246477	301.550229	+44.752601	0.868	0.503	20122054	3	9	2.003	0.032	13.781	0.000	15.784	0.032	14.692	0.010	12.889	0.081	11.177	0.106
301.55732700	+44.75641700	14246478	301.557327	+44.756417	0.522	0.474	20122054	5	16	0.937	0.070	12.397	0.044	13.334	0.055	12.868	0.060	12.040	0.022		
301.56816400	+44.75302000	14246479	301.568164	+44.753020	0.531	0.458	20122054	4	19	0.662	0.073	13.597	0.055	14.259	0.048	13.872	0.053	13.355	0.063	13.134	0.020
301.65639500	+44.72022900	14246480	301.656395	+44.720229	0.655	0.471	20122054	4	15	0.667	0.066	13.858	0.048	14.525	0.045	14.146	0.057	13.603	0.061	13.451	0.000
301.66249700	+44.72704500	14246481	301.662497	+44.727045	1.031	0.717	20122054	3	13	0.874	0.113	15.487	0.032	16.360	0.108	15.831	0.097	15.093	0.000	14.632	0.000
301.66696400	+44.74210500	14246482	301.666964	+44.742105	0.770	0.518	20122054	4	17	1.092	0.084	15.146	0.060	16.238	0.059	15.664	0.062	14.731	0.064	14.352	0.035
301.68759200	+44.72548400	14246483	301.687592	+44.725484	0.726	0.522	20122054	4	18	0.629	0.066	14.098	0.042	14.727	0.051	14.370	0.063	13.852	0.048	13.668	0.008
301.69973500	+44.73342100	14246486	301.699735	+44.733421	0.672	0.812	20122054	4	14	1.234	0.127	13.867	0.045	15.100	0.119	14.443	0.136	13.411	0.070	12.745	0.064
301.65590900	+44.73898700	14246488	301.655909	+44.738987	0.937	0.591	20122054	3	13	0.541	0.173	15.769	0.141	16.310	0.101	15.999	0.062	15.537	0.074	15.268	0.000
301.47050600	+44.72122000	14246517	301.470506	+44.721220	1.155	0.678	20122054	2	4							16.915	0.053	15.568	0.000	14.585	0.069
301.47178700	+44.73640200	14246518	301.471787	+44.736402	0.540	0.313	20122054	5	22	0.827	0.066	13.252	0.044	14.079	0.050	13.623	0.058	12.950	0.055	12.686	0.066
301.48981900	+44.74900000	14246519	301.489819	+44.749000	0.922	0.954	20122054	2	7	0.655	0.110	16.207	0.053	16.862	0.097	16.537	0.000	15.996	0.000	15.620	0.000
301.51303700	+44.73362900	14246522	301.513037	+44.733629	1.150	1.264	20122054	4	9	1.570	0.041	16.310	0.019	17.879	0.036	17.071	0.112	15.602	0.059	14.822	0.000
301.45367700	+44.74966700	14246523	301.453677	+44.749667	0.936	0.310	20122054	3	8	0.597	0.050	14.168	0.034	14.766	0.037	14.453	0.093	13.981	0.094		
301.46148600	+44.74967000	14246524	301.461486	+44.749670	0.766	0.273	20122054	5	29	0.632	0.076	11.621	0.049	12.253	0.057	11.874	0.058	11.388	0.071	11.158	0.074
301.51903200	+44.75915100	14246533	301.519032	+44.759151	0.581	0.403	20122054	4	15	0.814	0.091	15.622	0.079	16.436	0.045	16.011	0.067	15.320	0.079	15.088	0.000
301.11447900	+44.43073500	14248634	301.114479	+44.430735	0.556	0.556	20122054	4	18	1.017	0.047	14.887	0.040	15.904	0.025	15.329	0.053	14.522	0.052	14.194	0.012
