V_flux,R_flux,V_std,B_std,R_std,r_std,g_std
2585.8382285328125,2317.8489738471953,15.855,16.297,15.667169568508706,15.902,16.054
2414.5859634916105,2642.1871751556637,16.082,16.516,15.612395155185466,15.745,16.267
8375.871845471294,8597.443128773455,14.665,15.254,14.253752460257381,14.476,14.964
2288.586579982595,2409.2662074353184,15.918,16.506,15.552719152157456,15.825,16.252
1541.3966224488177,1332.2344825155023,16.541,17.315,16.322356548069646,16.485,16.77
4299.160489744405,4687.109621975994,15.28,15.864,14.913877365632096,15.136,15.563
2193.3221114580474,4418.783196421984,15.976,17.387,14.978466313398942,15.296,16.787
6086.399735066785,7211.1298980466245,14.954,15.824,14.408095382286147,14.667,15.411
13340.665735834318,22682.839283704056,14.07,15.449,13.162628311884935,13.444,14.807
5472.149386420082,5941.099384380724,15.085,15.723,14.64242922028766,14.822,15.365
36831.588265460785,41754.42771620199,13.003,13.786,12.53795382286147,12.766,13.379
3520.9182780761885,3975.9032679779825,15.565,16.242,15.120795609386827,15.353,15.909
2644.3910134949697,3048.8858034302625,15.802,16.508,15.38887963663891,15.619,16.142
5846.716446510623,6996.0812402583115,14.966,15.693,14.445262679788039,14.67,15.341
4005.9225526223686,4849.313322563972,15.335,16.2,14.822865253595761,15.072,15.77
3627.0171796714976,4847.129478220535,15.474,16.505,14.877193035579106,15.037,15.893
1545.1352498583185,1717.5909316120337,16.45,17.252,15.86631794095382,16.205,16.98
13762.235972348983,16478.68951900277,14.053,14.946,13.511178652535959,13.743,14.488
