V_flux,R_flux,V_std,B_std,R_std,r_std,g_std
7039.875989448272,7457.676191976942,15.335,16.2,14.822865253595761,15.072,15.77
2239.1371409600742,3485.8744809741606,15.976,17.387,14.978466313398942,15.296,16.787
7719.993386685306,8348.653724637881,14.025,15.087,13.40216578349735,13.645,14.544
3348.7228169487867,3730.644564649808,14.053,14.946,13.511178652535959,13.743,14.488
4488.7013917364275,4895.489410590073,14.459,15.168,14.011688872066616,14.246,14.815
3464.7408928803243,3648.9579789685927,14.813,15.575,14.370786525359577,14.617,15.194
5970.9282745463015,5882.968745951101,14.954,15.824,14.408095382286147,14.667,15.411
4678.982887137885,5154.28350271103,16.082,16.516,15.612395155185466,15.745,16.267
7865.630599737629,8370.778187676597,15.855,16.297,15.667169568508706,15.902,16.054
5196.991465628371,5403.056976823376,15.371,15.96,14.946126419379258,15.163,15.669
3484.9082382736938,2774.8269947990175,15.005,15.719,14.534517032551097,14.761,15.362
3039.6665745104324,3034.9605174043218,15.521,16.288,15.046530658591976,15.293,15.914
7902.3243670176425,8765.017866589327,15.28,15.864,14.913877365632096,15.136,15.563
8683.185492278732,9119.529591106575,15.846,16.65,15.523147615442845,15.765,16.196
12273.750005882726,13375.860929239738,15.565,16.242,15.120795609386827,15.353,15.909
17624.631771207303,20579.718104071457,15.802,16.508,15.38887963663891,15.619,16.142
14230.28923261601,17449.988115276545,14.966,15.693,14.445262679788039,14.67,15.341
2926.745661570041,5262.486403165114,16.17,17.192,15.378263436790313,15.63,16.741
5347.0204677496085,6122.303793887906,15.085,15.723,14.64242922028766,14.822,15.365
