B_flux,V_flux,R_flux,V_std,B_std,R_std,r_std,g_std
1337.8893171966922,4708.128124716076,12973.563137667246,15.855,16.297,15.667169568508706,15.902,16.054
2093.0268269227513,5298.923565965136,10899.093734298298,15.565,16.242,15.120795609386827,15.353,15.909
2061.5037596423517,4122.415065106536,7908.999505773029,15.88,16.573,15.461872823618473,15.65,16.176
809.347888498421,1238.5277976533566,3017.0907299563637,15.713,16.289,15.263437547312641,15.439,15.974
1599.2299728068822,3449.3141964367555,5305.190259351058,14.825,15.436,14.434279333838003,14.64,15.107
6419.626593693876,13069.387966706385,23265.25393976549,16.48,17.046,15.954903860711582,16.121,16.753
2823.109026938118,6161.023667834773,10727.405743557209,17.089,17.501,16.65261544284633,16.94,17.412
2388.8737083155756,5183.246751704673,9182.209258620884,15.977,16.719,15.597193792581379,15.836,16.325
2972.0441815155896,6513.514871276955,12146.59128298917,15.68,16.596,15.177084027252082,15.419,16.119
2738.8176313434633,5080.3742887792805,7612.495143447664,15.897,17.35,15.132377744133233,15.384,16.579
