V_flux,R_flux,V_std,B_std,R_std,r_std,g_std
13224.406917749664,37465.51418443716,12.727,13.331,12.343133232399698,12.574,13.03
8736.164400246445,25096.30484010657,14.14,14.989,13.647208175624527,13.882,14.55
13983.134068554216,26326.21791689005,14.459,15.168,14.011688872066616,14.246,14.815
46440.17100178285,90585.27136575768,12.854,13.492,12.472746404239212,12.69,13.152
55477.549914552554,105274.66569619851,13.003,13.786,12.53795382286147,12.766,13.379
21117.68309628735,37925.69029719487,13.527,14.172,13.13586449659349,13.356,13.833
35119.654495140225,65616.6496530887,12.493,13.3,12.026191521574566,12.242,12.864
40220.49932626179,68945.83548480994,12.711,13.574,12.182547312641937,12.415,13.134
9855.196158010434,16984.419583846797,14.053,14.946,13.511178652535959,13.743,14.488
11679.445341157787,23131.685512687392,14.419,15.698,13.554928841786525,13.859,15.137
44458.626909088096,75525.5644334239,14.07,15.449,13.162628311884935,13.444,14.807
